
--- Simulation Session Started at 2026-09-23 20:01:37.891328 ---
=== RIGOROUS COLLATZ ENGINE INITIALIZED ===

=== RIGOROUS EXPONENTIAL SCALE COLLATZ ENGINE ===
Running with strict modular math and exponent scale tracking...
Press Ctrl+C to stop anytime.
Elapsed: 2s | Steps: 414000000 | Audits: 0 | Exp Scale 2^: ~36.6681 bits
Elapsed: 2s | Steps: 417000000 | Audits: 0 | Exp Scale 2^: ~25.3387 bits
Elapsed: 2s | Steps: 421000000 | Audits: 0 | Exp Scale 2^: ~17.4503 bits
Elapsed: 2s | Steps: 443000000 | Audits: 0 | Exp Scale 2^: ~21.5432 bits
Elapsed: 2s | Steps: 450000000 | Audits: 0 | Exp Scale 2^: ~33.7358 bits
Elapsed: 2s | Steps: 452000000 | Audits: 0 | Exp Scale 2^: ~43.3046 bits
Elapsed: 2s | Steps: 459000000 | Audits: 0 | Exp Scale 2^: ~15.4967 bits
Elapsed: 2s | Steps: 461000000 | Audits: 0 | Exp Scale 2^: ~12.1827 bits
Elapsed: 2s | Steps: 472000000 | Audits: 0 | Exp Scale 2^: ~21.8377 bits
Elapsed: 2s | Steps: 473000000 | Audits: 0 | Exp Scale 2^: ~10.8098 bits
Elapsed: 2s | Steps: 475000000 | Audits: 0 | Exp Scale 2^: ~7.3837 bits
Elapsed: 2s | Steps: 478000000 | Audits: 0 | Exp Scale 2^: ~10.9979 bits
Elapsed: 2s | Steps: 487000000 | Audits: 0 | Exp Scale 2^: ~20.4708 bits
Elapsed: 2s | Steps: 490000000 | Audits: 0 | Exp Scale 2^: ~16.6692 bits
Elapsed: 2s | Steps: 491000000 | Audits: 0 | Exp Scale 2^: ~10.4168 bits
Elapsed: 2s | Steps: 492000000 | Audits: 0 | Exp Scale 2^: ~16.0737 bits
Elapsed: 2s | Steps: 499000000 | Audits: 0 | Exp Scale 2^: ~31.8458 bits
Elapsed: 3s | Steps: 507000000 | Audits: 0 | Exp Scale 2^: ~20.0974 bits
Elapsed: 3s | Steps: 509000000 | Audits: 0 | Exp Scale 2^: ~25.7045 bits
Elapsed: 3s | Steps: 514000000 | Audits: 0 | Exp Scale 2^: ~39.9216 bits
Elapsed: 3s | Steps: 519000000 | Audits: 0 | Exp Scale 2^: ~27.6348 bits
Elapsed: 3s | Steps: 525000000 | Audits: 0 | Exp Scale 2^: ~41.4815 bits
Elapsed: 3s | Steps: 528000000 | Audits: 0 | Exp Scale 2^: ~20.3785 bits
Elapsed: 3s | Steps: 530000000 | Audits: 0 | Exp Scale 2^: ~42.5343 bits
Elapsed: 3s | Steps: 533000000 | Audits: 0 | Exp Scale 2^: ~20.0974 bits
Elapsed: 3s | Steps: 535000000 | Audits: 0 | Exp Scale 2^: ~27.0245 bits
Elapsed: 3s | Steps: 542000000 | Audits: 0 | Exp Scale 2^: ~34.7951 bits
Elapsed: 3s | Steps: 546000000 | Audits: 0 | Exp Scale 2^: ~16.5246 bits
Elapsed: 3s | Steps: 547000000 | Audits: 0 | Exp Scale 2^: ~9.21189 bits
Elapsed: 3s | Steps: 556000000 | Audits: 0 | Exp Scale 2^: ~36.9237 bits
Elapsed: 3s | Steps: 569000000 | Audits: 0 | Exp Scale 2^: ~10.3805 bits
Elapsed: 3s | Steps: 571000000 | Audits: 0 | Exp Scale 2^: ~20.9816 bits
Elapsed: 3s | Steps: 580000000 | Audits: 0 | Exp Scale 2^: ~13.4659 bits
Elapsed: 3s | Steps: 585000000 | Audits: 0 | Exp Scale 2^: ~4.85798 bits
Elapsed: 3s | Steps: 587000000 | Audits: 0 | Exp Scale 2^: ~21.0606 bits
Elapsed: 3s | Steps: 593000000 | Audits: 0 | Exp Scale 2^: ~33.1474 bits
Elapsed: 3s | Steps: 595000000 | Audits: 0 | Exp Scale 2^: ~20.4004 bits
Elapsed: 3s | Steps: 599000000 | Audits: 0 | Exp Scale 2^: ~22.5213 bits
Elapsed: 3s | Steps: 601000000 | Audits: 0 | Exp Scale 2^: ~9.09011 bits
Elapsed: 3s | Steps: 606000000 | Audits: 0 | Exp Scale 2^: ~26.3351 bits
Elapsed: 3s | Steps: 610000000 | Audits: 0 | Exp Scale 2^: ~38.3386 bits
Elapsed: 3s | Steps: 618000000 | Audits: 0 | Exp Scale 2^: ~7.33092 bits
